Date,APPLE Adj Close, Return (%)
11/2/2009,96.82,-1.032403148
12/2/2009,99.27,2.530468911
13/2/2009,99.16,-0.110808905
17/2/2009,94.53,-4.66922146
18/2/2009,94.37,-0.169258436
19/2/2009,90.64,-3.952527286
20/2/2009,91.2,0.617828773
23/2/2009,86.95,-4.660087719
24/2/2009,90.25,3.795284646
25/2/2009,91.16,1.008310249
26/2/2009,89.19,-2.161035542
27/2/2009,89.31,0.134544231
2/3/2009,87.94,-1.533982757
3/3/2009,88.37,0.488969752
4/3/2009,91.17,3.168496096
5/3/2009,88.84,-2.555665241
6/3/2009,85.3,-3.98469158
9/3/2009,83.11,-2.567409144
10/3/2009,88.63,6.641800024
11/3/2009,92.68,4.56955884
12/3/2009,96.35,3.95986189
13/3/2009,95.93,-0.435910742
16/3/2009,95.42,-0.531637652
17/3/2009,99.66,4.44351289
18/3/2009,101.52,1.866345575
19/3/2009,101.62,0.098502758
20/3/2009,101.59,-0.029521748
23/3/2009,107.66,5.974997539
24/3/2009,106.5,-1.077466097
25/3/2009,106.49,-0.009389671
26/3/2009,109.87,3.174006949
27/3/2009,106.85,-2.748703013
30/3/2009,104.49,-2.20870379
31/3/2009,105.12,0.60292851
1/4/2009,108.69,3.396118721
2/4/2009,112.71,3.698592327
3/4/2009,115.99,2.910123325
6/4/2009,118.45,2.120872489
7/4/2009,115,-2.912621359
8/4/2009,116.32,1.147826087
9/4/2009,119.57,2.794016506
13/4/2009,120.22,0.543614619
14/4/2009,118.31,-1.588753951
15/4/2009,117.64,-0.56630885
16/4/2009,121.45,3.238694322
17/4/2009,123.42,1.622066694
20/4/2009,120.5,-2.36590504
21/4/2009,121.76,1.045643154
22/4/2009,121.51,-0.205321945
23/4/2009,125.4,3.201382602
24/4/2009,123.9,-1.196172249
27/4/2009,124.73,0.669895077
28/4/2009,123.9,-0.665437345
29/4/2009,125.14,1.000807103
30/4/2009,125.83,0.551382452
1/5/2009,127.24,1.120559485
4/5/2009,132.07,3.795976108
5/5/2009,132.71,0.484591505
6/5/2009,132.5,-0.158239771
7/5/2009,129.06,-2.596226415
8/5/2009,129.19,0.100728343
11/5/2009,129.57,0.294140413
12/5/2009,124.42,-3.974685498
13/5/2009,119.49,-3.962385469
14/5/2009,122.95,2.895639802
15/5/2009,122.42,-0.43106954
18/5/2009,126.65,3.455317759
19/5/2009,127.45,0.631662061
20/5/2009,125.87,-1.239701844
21/5/2009,124.18,-1.34265512
22/5/2009,122.5,-1.352874859
26/5/2009,130.78,6.759183673
27/5/2009,133.05,1.73573941
28/5/2009,135.07,1.518226231
29/5/2009,135.81,0.54786407
1/6/2009,139.35,2.606582726
2/6/2009,139.49,0.100466451
3/6/2009,140.95,1.046670012
4/6/2009,143.74,1.979425328
5/6/2009,144.67,0.647001531
8/6/2009,143.85,-0.566807216
9/6/2009,142.72,-0.785540494
10/6/2009,140.25,-1.730661435
11/6/2009,139.95,-0.213903743
12/6/2009,136.97,-2.129331904
15/6/2009,136.09,-0.642476455
16/6/2009,136.35,0.19105004
17/6/2009,135.58,-0.564723139
18/6/2009,135.88,0.221271574
19/6/2009,139.48,2.649396526
22/6/2009,137.37,-1.512761686
23/6/2009,134.01,-2.445948897
24/6/2009,136.22,1.649130662
25/6/2009,139.86,2.672147996
26/6/2009,142.44,1.844701845
29/6/2009,141.97,-0.329963493
30/6/2009,142.43,0.324012115
1/7/2009,142.83,0.280839711
2/7/2009,140.02,-1.967373801
6/7/2009,138.61,-1.006999
7/7/2009,135.4,-2.315850227
8/7/2009,137.22,1.344165436
9/7/2009,136.36,-0.626730797
10/7/2009,138.52,1.584042241
